id,target,atom1,atom2,s1,p1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,vol1,top1,s2,p2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,vol2,top2,A-B,AB-gap,AB-bondlen,n_nbr
mp-8883,0.2238,As,Ga,-0.328019,-0.101634,3,1.87,0.76,1.22,1.81,0.15,13,4,11.8,-0.101634,-0.52367,-0.197497,5,1.85,0.66,1.19,2.18,2.49,15,4,12.95,-0.197497,-0.130522,-1.9988992,2.450419722,5
mp-22913,0.4871,Br,Cu,-0.172056,-2.609244,1,1.96,0.82,1.32,1.9,1.31,11,4,7.11,-0.172056,-0.720066,-0.295334,7,1.85,0.8825,1.2,2.96,4.73,17,4,19.78,-0.295334,0.123278,1.1894808,2.449809579,4
mp-966800,0.5134,In,P,-0.290497,-0.101782,3,1.93,0.94,1.42,1.78,-0.22,13,5,15.76,-0.101782,-0.512364,-0.20608,5,1.8,0.55,1.07,2.19,2.69,15,3,17.02,-0.20608,-0.084417,-1.6614712,2.554733509,5
mp-1070,0.5724,Cd,Se,-0.204228,-2.39526,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.621248,-0.245806,6,1.9,1.013333333,1.2,2.55,3.09,16,4,16.42,-0.245806,0.041578,-0.0069392,2.658875907,5
mp-406,0.5846,Cd,Te,-0.204228,-2.39526,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.520997,-0.226594,6,2.06,1.293333333,1.38,2.1,2.58,16,5,20.46,-0.226594,0.022366,-0.2804224,2.842393305,4
mp-1986,0.6309,O,Zn,-0.222725,-3.022363,2,2.01,0.88,1.22,1.65,1,12,4,9.16,-0.222725,-0.871362,-0.338381,6,1.52,1.26,0.66,3.44,4.8,16,2,17.36,-0.338381,0.115656,0.9420216,1.973892405,4
mp-997618,0.7506,B,Sb,-0.344701,-0.136603,3,1.92,0.41,0.84,2.04,1.6,13,2,4.39,-0.136603,-0.445605,-0.185623,5,2.06,0.83,1.39,2.05,1.95,15,5,18.19,-0.185623,-0.159078,-2.9140608,2.28734283,4
mp-2469,1.0492,Cd,S,-0.204228,-2.39526,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.630912,-0.261676,6,1.8,0.88,1.05,2.58,3.31,16,3,15.53,-0.261676,0.057448,-0.2679072,2.54867226,4
mp-2176,1.0733,Te,Zn,-0.222725,-3.022363,2,2.01,0.88,1.22,1.65,1,12,4,9.16,-0.222725,-0.520997,-0.226594,6,2.06,1.293333333,1.38,2.1,2.58,16,5,20.46,-0.226594,0.003869,-1.0206816,2.645634122,4
mp-672,1.125,Cd,S,-0.204228,-2.39526,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.630912,-0.261676,6,1.8,0.88,1.05,2.58,3.31,16,3,15.53,-0.261676,0.057448,-0.3437072,2.548240718,5
mp-1190,1.1663,Se,Zn,-0.222725,-3.022363,2,2.01,0.88,1.22,1.65,1,12,4,9.16,-0.222725,-0.621248,-0.245806,6,1.9,1.013333333,1.2,2.55,3.09,16,4,16.42,-0.245806,0.023081,-0.8523984,2.452966861,4
mp-22895,1.1763,Cu,I,-0.172056,-2.609244,1,1.96,0.82,1.32,1.9,1.31,11,4,7.11,-0.172056,-0.596339,-0.267904,7,1.98,1.273333333,1.39,2.66,3.82,17,5,25.72,-0.267904,0.095848,0.1272328,2.603773802,4
mp-10044,1.2037,As,B,-0.344701,-0.136603,3,1.92,0.41,0.84,2.04,1.6,13,2,4.39,-0.136603,-0.52367,-0.197497,5,1.85,0.66,1.19,2.18,2.49,15,4,12.95,-0.197497,-0.147204,-3.2056744,2.086798193,4
mp-2624,1.2255,Al,Sb,-0.286883,-0.102545,3,1.84,0.675,1.21,1.61,0.35,13,3,10,-0.102545,-0.445605,-0.185623,5,2.06,0.83,1.39,2.05,1.95,15,5,18.19,-0.185623,-0.10126,-2.602636,2.678201454,4
mp-8882,1.3002,Ga,P,-0.328019,-0.101634,3,1.87,0.76,1.22,1.81,0.15,13,4,11.8,-0.101634,-0.512364,-0.20608,5,1.8,0.55,1.07,2.19,2.69,15,3,17.02,-0.20608,-0.121939,-2.9585704,2.357419196,5
mp-22894,1.3877,Ag,I,-0.157407,-2.086602,1,2.11,1.086666667,1.45,1.93,1.31,11,5,10.27,-0.157407,-0.596339,-0.267904,7,1.98,1.273333333,1.39,2.66,3.82,17,5,25.72,-0.267904,0.110497,0.1150592,2.843244602,5
mp-830,1.5701,Ga,N,-0.328019,-0.101634,3,1.87,0.76,1.22,1.81,0.15,13,4,11.8,-0.101634,-0.676151,-0.266297,5,1.55,0.63,0.71,3.04,4.38,15,2,13.54,-0.266297,-0.061722,-2.4095192,1.951587983,4
mp-1550,1.6294,Al,P,-0.286883,-0.102545,3,1.84,0.675,1.21,1.61,0.35,13,3,10,-0.102545,-0.512364,-0.20608,5,1.8,0.55,1.07,2.19,2.69,15,3,17.02,-0.20608,-0.080803,-2.7283208,2.369864184,4
mp-804,1.7265,Ga,N,-0.328019,-0.101634,3,1.87,0.76,1.22,1.81,0.15,13,4,11.8,-0.101634,-0.676151,-0.266297,5,1.55,0.63,0.71,3.04,4.38,15,2,13.54,-0.266297,-0.061722,-2.5659192,1.949039665,5
